date,cash,GEVO_close,FEIM_close,ARQ_close,UPXI_close,GEVO_qty,FEIM_qty,ARQ_qty,UPXI_qty,GEVO_value,FEIM_value,ARQ_value,UPXI_value,total_value,actions
2025-08-12,0.00,1.9900,31.2900,7.2000,6.6600,299,10,37,17,595.01,312.90,266.40,113.22,1287.53,
2025-08-13,0.00,1.9800,31.5600,7.7300,7.8300,299,10,37,17,592.02,315.60,286.01,133.11,1326.74,
2025-08-13,0.00,1.9800,31.5600,7.7300,7.8300,299,10,37,17,592.02,315.60,286.01,133.11,1326.74,,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00
